Designator,Mid X,Mid Y,Layer,Rotation
C1,56.5,-104.5,top,0
C2,63.05,-104.5,top,0
C3,90,-112,top,0
C4,90,-30,top,0
J1,61.8,-36.42,top,0
J2,98.2,-36.42,top,0
J3,98.2,-77.8,top,0
J4,61.8,-77.8,top,0
J5,98.2,-61.8,top,0
J6,98.2,-69.8,top,0
J7,94,-120.5675,top,0
R1,76,-127.35,top,90
SW1,76.75,-104.75,top,0
U1,72.26,-45,top,0
Y1,58,-109,top,0
